offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_SPO_lanches_piloto_NB_frutas_W27,lanches_piloto_NB_frutas,8,true,01-07-2024,31-07-2024,0,1,778789,-314629#581776#-314938#89339#112149#608540#-314689#89349#-314767#98094#607838#75842#-314593#112156,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_ovos_W27,lanches_piloto_NB_ovos,8,true,01-07-2024,31-07-2024,0,1,778797,651949,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_verduras_W27,lanches_piloto_NB_verduras,8,true,01-07-2024,31-07-2024,0,1,778809,75297#608492#608489#112182#74194#608494#608495#75087#608543#608538#73648#608488#626704#74156#626705#75002,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_legumes_W27,lanches_piloto_NB_legumes,8,true,01-07-2024,31-07-2024,0,1,778792,-314770#608497#97340#-314797#608542#97304#-314728#111235#106246#556552#-314725#626707#112225#-314857#112220#-314716#608491#106081,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_utensiliosdelimpeza_W27,lanches_piloto_NB_utensiliosdelimpeza,6,true,01-07-2024,31-07-2024,0,1,778808,161239#613405#240413,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_conservaseenlatados_W27,lanches_piloto_NB_conservaseenlatados,8,true,01-07-2024,31-07-2024,0,1,778778,633619#633851#236613#509501#633637#361010#236601#361028#633627,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_farinhasemisturas_W27,lanches_piloto_NB_farinhasemisturas,6,true,01-07-2024,31-07-2024,0,1,778786,116061#623198#108302#627434#232192#635786#163389#612129#623208#73465#232189#612127#638411#623202#652831#638395#163392,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_sucosechas_W27,lanches_piloto_NB_sucosechas,8,true,01-07-2024,31-07-2024,0,1,778803,397323#277880#277876#283284#277875#277861#277883#277887#284041#277885#277858#277857#277886#277884#486140#649779,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_utensilios_W27,lanches_piloto_NB_utensilios,8,true,01-07-2024,31-07-2024,0,1,778807,351307,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_desinfetantesesanitizantes_W27,lanches_piloto_NB_desinfetantesesanitizantes,7,true,01-07-2024,31-07-2024,0,1,778781,240307#314595#240304#240410#314589#628490#351343#628130,INCLUDED,SUPER_DISCOUNT,0
