20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
110353876.0,126708937.0,,,118465783.0,115512194.0,123716705.0,115404142.0
126653912.0,116100298.0,,,110482682.0,127329162.0,117965922.0,124210543.0
127784409.0,124234959.0,,,121748733.0,116726671.0,125490275.0,124419447.0
132060636.0,117902546.0,,,121736445.0,124779407.0,127937631.0,128398713.0
110495203.0,117982422.0,,,127907073.0,117797777.0,109892709.0,124370302.0
120630761.0,117996759.0,,,115477762.0,125451152.0,117951597.0,109823370.0
131429877.0,116554971.0,,,111619334.0,129112977.0,109290609.0,127923604.0
124882427.0,110513375.0,,,115496203.0,110476193.0,120689777.0,109317532.0
127919612.0,111762656.0,,,109821203.0,117246889.0,131982459.0,130350514.0
110460412.0,121277670.0,,,118492437.0,109822890.0,114162828.0,130387384.0
115336703.0,132150502.0,,,113050902.0,123089837.0,115524760.0,117319102.0
109323778.0,120636649.0,,,112799011.0,115995572.0,127161497.0,130788806.0
116069891.0,125598958.0,,,125443369.0,116081588.0,116032673.0,128560585.0
118560258.0,131011826.0,,,110513450.0,111629238.0,125496482.0,110388691.0
127784454.0,124421364.0,,,124376377.0,128988085.0,117474472.0,110353876.0
