20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
120121718.0,121852196.0,128619005.0,132088385.0,132108771.0,132325887.0,120105633.0,120273406.0,134066698.0,125530547.0,131592723.0,120238582.0,118018520.0
135967095.0,118032677.0,137159166.0,126702145.0,120238582.0,124432894.0,132090530.0,132325887.0,120621579.0,126794166.0,137171480.0,128619005.0,130986462.0
121225595.0,119601445.0,132325887.0,118035015.0,128619005.0,118018561.0,121856676.0,120236546.0,133251600.0,126673336.0,132272667.0,137159166.0,132108771.0
121213311.0,134093096.0,124432894.0,124912203.0,137159166.0,118399491.0,125057703.0,118399491.0,129479185.0,119667128.0,118018591.0,132325887.0,120238582.0
139147649.0,136087849.0,118018561.0,137122379.0,132325887.0,119656964.0,130792104.0,134066698.0,131592723.0,124598715.0,119779872.0,124432894.0,128619005.0
128051586.0,120623401.0,118399491.0,139096657.0,124432894.0,134066698.0,118053557.0,120621579.0,127822361.0,132684225.0,120230445.0,118018561.0,137159166.0
117969282.0,119742766.0,119656964.0,130032210.0,118018561.0,133251600.0,138642104.0,127355405.0,132272667.0,128006596.0,123793971.0,118399491.0,132325887.0
120136068.0,123345199.0,134066698.0,139137618.0,118399491.0,129479185.0,119632569.0,133251600.0,130857501.0,129577415.0,130765364.0,119656964.0,124432894.0
121248138.0,135295283.0,133251600.0,119681619.0,119656964.0,131592723.0,131054271.0,129479185.0,118018591.0,120648136.0,124428853.0,134066698.0,118018561.0
129489290.0,124393779.0,131592723.0,125575765.0,134066698.0,137171480.0,124457669.0,131592723.0,118413859.0,120689099.0,137085493.0,133251600.0,118399491.0
124438924.0,120893752.0,137171480.0,132084311.0,133251600.0,132272667.0,133944010.0,127822361.0,126761510.0,118004173.0,125030966.0,129479185.0,119656964.0
128655758.0,118044988.0,132272667.0,121229912.0,129479185.0,118018591.0,125373148.0,130857501.0,121707048.0,118540751.0,139158072.0,131592723.0,134066698.0
134066578.0,124309821.0,118018591.0,133153369.0,131592723.0,119779872.0,128467688.0,131058209.0,125549099.0,127429072.0,128971319.0,137171480.0,133251600.0
121323927.0,118399295.0,119779872.0,136024664.0,137171480.0,120230445.0,134124267.0,118413859.0,120230445.0,130550226.0,132088385.0,132272667.0,129479185.0
127271322.0,118950207.0,120230445.0,118919772.0,132272667.0,123793971.0,126855920.0,121707048.0,128010800.0,118018520.0,126702145.0,118018591.0,131592723.0
132733343.0,129130817.0,123793971.0,132899424.0,118018591.0,130765364.0,133937904.0,125549099.0,126732849.0,124316122.0,120615491.0,119779872.0,137171480.0
