20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
146126720.0,142346052.0,145336178.0,143218453.0,143910634.0
135194501.0,136451908.0,140285811.0,139892505.0,143062767.0
145332107.0,141637455.0,134584185.0,142231323.0,145221361.0
142247822.0,140470096.0,143595386.0,145889055.0,143574774.0
139921296.0,145164118.0,145135487.0,141801253.0,143017719.0
143951763.0,139728733.0,146126720.0,139777850.0,143996664.0
142387102.0,146057057.0,135194501.0,143603516.0,141330173.0
141768607.0,142235497.0,145332107.0,47687488.0,143562501.0
137922465.0,143578991.0,142247822.0,142346052.0,146061062.0
143595425.0,145336178.0,139921296.0,136451908.0,145090317.0
